id,English,Hebrew
0,about,אודות
1,as,כמו
2,both,שניהם
3,comparatively,באופן יחסי
4,correspondingly,בהתאמה
5,e.g.,לדוגמה
6,equally,במידה שווה
7,for example,לדוגמה
8,for instance,לדוגמה
9,identically,באופן זהה
10,in other words,במילים אחרות
11,in the same way,באותו אופן
12,just as,בדיוק כמו
13,like,כמו
14,likewise,כמו כן באותו אופן
15,similarly,באופן דומה
16,such as,כמו למשל
17,that,ש
18,above all,מעל לכל
19,absolutely,לחלוטין
20,both... and ...,... גם... וגם...
21,certainly,בהחלט בוודאי
22,chiefly,בעיקר
23,either... or ...,... או... או
24,especially,במיוחד
25,essentially,בעיקרו במהותו
26,however,בכל דרך
27,in fact,למעשה
28,in general,באופן כללי
29,in particular,במיוחד
30,incidentally,דרך אגב
31,indeed,בהחלט
32,just as... so...,...בדיוק כמו... גם
33,mainly,בעיקר
34,markedly,בצורה ניכרת
35,namely,במיוחד כלומר
36,neither... nor...,... לא... ולא
37,not only... but also ...,... לא רק... אלא גם
38,not... but ...,... לא... אבל
39,notably,ראוי לציון
40,of course,כמובן בוודאי
41,particularly,במיוחד בפרט
42,primarily,בעיקר
43,significantly,באופן משמעותי
44,specifically,במיוחד
45,surely,ללא ספק
46,surprisingly,במפתיע
47,too,יותר מידי
48,truly,באמת
49,undoubtedly,ללא ספק
50,whether... or…  ... ...,... … בין אם... או...
51,additionally,בנוסף
52,along with,יחד עם
53,also,גם
54,and,ו
55,as well as,כמו גם
56,aside from,חוץ מ
57,besides,בנוסף על
58,besides,מלבד חוץ מ
59,but,מלבד חוץ מ
60,coupled with,יחד עם
61,except,מלבד חוץ מ
62,furthermore,זאת ועוד
63,in addition,בנוסף
64,including,כולל
65,moreover,זאת ועוד
66,not only,לא רק
67,not to mention,שלא לדבר על
68,together with,יחד עם
69,too,גם
70,with,באמצעות עם
71,without,מבלי ללא
72,despite,למרות
73,even so,אף על פי כן
74,even though,למרות ש
75,however,למרות זאת
76,in spite of,למרות
77,nevertheless,למרות זאת
78,nonetheless,למרות זאת
79,after,אחרי
80,afterwards,לאחר מכן
81,again,שוב
82,as,כאשר כש
83,as long as,כל עוד
84,as soon as,כאשר ברגע ש
85,at first,בהתחלה
86,at last,סוף סוף
87,before,לפני
88,by,עד לא יאוחר מ
89,currently,כרגע נכון לעכשיו
90,during,תוך כדי במשך
91,earlier,קודם לכן
92,eventually,לבסוף
93,finally,לבסוף סוף סוף
94,first of all,ראשית
95,former,קודם לשעבר
96,from,מ
97,further,בהמשך
98,immediately,מיד
99,in a moment,בעוד רגע
100,in due time,בבוא העת
101,initially,בתחילה
102,instantly,מיד
103,last,אחרון
104,later,מאוחר יותר
105,meanwhile,בינתיים
106,next,הבא
107,now,עכשיו
108,once,פעם (בעבר)
109,once,ברגע ש
110,past,עבר שעבר
111,presently,כעת
112,previously,הקודם לפני כן
113,prior to,קודם ל  לפני
114,shortly,בקיצור בקרוב
115,simultaneously,בו זמנית
116,since,מאז
117,soon,בהקדם מוקדם
118,still,עדיין למרות זאת
119,suddenly,לפתע
120,then,אז
121,to begin with,בתור התחלה
122,until,עד ש
123,until now,עד עתה
124,when,כאשר כש
125,whenever,כש  מתישהו
126,while,בזמן ש
127,yet,עדיין בכל זאת
128,backward,לאחור
129,down,למטה
130,forward,קדימה לפנים
131,further,לקדם
132,left,שמאלה
133,right,ימינה
134,sideways,הצידה
135,toward,אל אל עבר
136,upon,על
137,upside down,הפוך
138,about,ליד בערך
139,above,מעל
140,across,בצד השני לרוחב
141,adjacent to,ליד
142,against,כנגד ממול
143,ahead of,לפני לפנים
144,along,לאורך
145,alongside,לצד במקביל
146,amid,בקרב בין
147,among,בקרב בין
148,around,מסביב
149,at,אצל ב
150,before,לפני מול
151,behind,מאחורי
152,below,מתחת
153,beneath,מתחת
154,beside,ליד
155,between,בין
156,beyond,מעבר
157,by,ליד בסמוך ל
158,close,קרוב
159,distant,מרוחק
160,elsewhere,במקום אחר
161,farther,הלאה יותר
162,from,מ
163,here,כאן
164,in,ב  בתוך
165,in front of,בחזית של מול
166,inside,בתוך פנים
167,into,אל תוך
168,latter,שני אחרון
169,near,קרוב
170,nearby,ליד קרוב
171,next to,ליד
172,of,של מ
173,on,על
174,on top of,על מעל
175,opposite,מנוגד ממול
176,outside,חוץ
177,outside,בחוץ
178,over,על מעל
179,there,שם
180,under,מתחת
181,underneath,מתחת
182,up,למעלה
183,where,היכן איפה
184,wherever,בכל מקום לא משנה היכן
185,within,בתוך
186,albeit,אף על פי
187,although,למרות ש
188,but,אך אבל
189,contradictory,סותר
190,contrary,להפך בניגוד ל
191,conversely,לעומת זאת
192,different from,שונה מ
193,in comparison,בהשוואה
194,in contrast to,בניגוד ל
195,instead,במקום
196,instead of,במקום
197,of course… but… ... ...,… … כמובן... אך...
198,on the contrary,בניגוד לכך
199,or,או
200,otherwise,אחרת
201,rather,עדיף
202,rather than,במקום יותר מ
203,regardless,למרות ללא קשר
204,than,מ
205,though,למרות זאת
206,though,למרות ש
207,unlike,שלא כמו
208,vice versa,להיפך
209,where,בעוד ש
210,whereas,בעוד ש
211,yet,אך אולם
212,after all,אחרי הכל
213,because,בגלל
214,because of,בגלל
215,being that,מכיוון ש
216,due to,בגלל לאור
217,given that,בהתחשב בכך
218,in light of,לאור
219,owing to,הודות ל
220,since,מכיוון ש
221,thanks to,תודות ל
222,therefore,לכן
223,why,מדוע
224,after all,אחרי הכל
225,all in all,בסך הכל
226,altogether,בסך הכל
227,besides,בכל מקרה
228,i.e.,.. כלומר לדוגמה
229,in a word,במילה אחת
230,in conclusion,לסיכום
231,in fact,למעשה
232,overall,כולל באופן כללי
233,to sum up,כדי לסכם
234,according,לפי
235,accordingly,בהתאם
236,as a result,כתוצאה
237,consequently,כתוצאה מכך
238,for,מפני ש
239,for,עבור
240,hence,לפיכך לכן
241,in that case,במקרה הזה
242,led to,הוביל ל
243,so,אז כך ש  ולכן
244,so that,כך ש
245,subsequently,כתוצאה מכך
246,then,אז
247,thus,לכן כך ש
248,always,תמיד
249,consistently,בעקביות
250,constantly,באופן קבוע
251,daily,יומיומי
252,every day,כל יום
253,every now and then,לפעמים
254,for the most part,בדרך כלל
255,forever,לנצח לתמיד
256,frequently,לעיתים קרובות
257,from time to time,מפעם לפעם
258,hardly ever,כמעט אף פעם
259,mostly,לרוב
260,never,אף פעם
261,occasionally,מידי פעם
262,often,לעיתים קרובות
263,once in a while,מידי פעם
264,ordinarily,בדרך כלל
265,permanently,קבוע
266,perpetually,נצחי לנצח
267,rarely,לעיתים נדירות
268,regularly,באופן קבוע
269,seldom,לעיתים רחוקות
270,sometimes,לעיתים לפעמים
271,usually,בדרך כלל
272,as if,כאילו
273,based on,מבוסס על
274,even if,גם אם
275,granted (that),בהנחה ש  נתון ש
276,If,אם
277,in case,במקרה
278,in order to,על מנת בכדי
279,only,רק
280,provided that,בתנאי ש
281,so long as,כל עוד
282,unless,אלא אם כן
283,which,אשר ש
284,while,כל עוד
285,how,איך כיצד
286,what,מה איזה
287,which,איזה
288,who,מי ש
289,whom,מי
290,whose,אשר לו אשר הוא
291,1st - first,1   ראשון
292,2nd - second,2   שני
293,3rd - third,3   שלישי
294,4th - fourth,4   רביעי
295,5th - fifth,5   חמישי
296,6th - sixth,6   שישי
297,7th - seventh,7   שביעי
298,8th - eighth,8   שמיני
299,9th - ninth,9   תשיעי
300,tenth - 10th,10 עשירי
301,ability,יכולת
302,able,יכול מסוגל
303,accept,לקבל
304,acceptable,מקובל
305,acceptance,הסכמה
306,accident,תאונה
307,achieve,להשיג
308,activate,להפעיל
309,active,פעיל
310,actor,שחקן
311,actual,ממשי
312,actually,למעשה
313,addition,תוספת הוספה
314,address,לפנות לטפל
315,address,כתובת
316,adjust,להתרגל
317,adjust,לכוונן
318,afford,יכל לעמוד בהוצאות
319,afraid,מפחד
320,agree,להסכים
321,agreement,הסכם
322,aim,לכוון מטרה
323,alarm,דאגה להדאיג
324,alarm,אזעקה
325,alive,חי
326,almost,כמעט
327,alone,לבד
328,alternate,התחלף עבר מדבר אחד לשני וחזרה
329,alternate,חלופי
330,altogether,לגמרי
331,ambassador,שגריר
332,ambiguous,דו משמעי לא לגמרי ברור
333,amount,כמות
334,anger,כעס להכעיס
335,angry,כועס
336,animal,חיה
337,another,נוסף
338,another,אחר
339,answer,תשובה
340,apart,בנפרד
341,apology,התנצלות
342,appear,להופיע
343,appear,נראה ש
344,appearance,מראה הופעה
345,appropriate,מתאים
346,approve,לאשר
347,architect,ארכיטקט
348,architecture,אדריכלות ארכיטקטורה
349,area,אזור תחום
350,argue,להתווכח
351,argument,ויכוח
352,aristocrat,אציל אריסטוקרט
353,arm,לחמש
354,arm,זרוע
355,army,צבא
356,around,בערך
357,arrange,לסדר
358,arrest,מעצר לעצור
359,arrive,להגיע
360,art,אמנות
361,article,פריט
362,article,מאמר
363,articulate,רהוט
364,articulate,להביע
365,artist,אמן
366,artistic,אמנותי
367,as far as,לגבי בכל הנוגע ל
368,as proof of,כהוכחה ל
369,ask,לשאול
370,asked for,ביקש
371,associate,לקשר
372,association,אסוציאציה
373,association,איגוד
374,assume,להניח
375,assumption,הנחה
376,at least,לפחות
377,athlete,ספורטאי אתלט
378,attach,לחבר ליחס
379,attack,לתקוף מתקפה
380,attempt,ניסיון
381,attitude,גישה
382,attract,למשוך
383,attraction,משיכה
384,attractive,נאה מושך
385,audience,קהל
386,authentic,מקורי אותנטי
387,availability,זמינות
388,available,זמין
389,average,ממוצע רגיל
390,avoid,להתחמק להימנע
391,awake,ער להתעורר
392,bacteria,חיידקים
393,badly,נואשות קשות
394,baker,אופה
395,band,להקה
396,band,לחבוש תחבושת רצועה
397,barely,בקושי
398,base,בסיס
399,bat,עטלף
400,bat,מחבט
401,bath,אמבטיה להתרחץ
402,battle,מאבק להיאבק
403,beach,חוף ים
404,bear,דוב
405,bear,לסבול לשאת
406,beauty,יופי
407,bedroom,חדר שינה
408,begin/an/un  /  /,// להתחיל / התחיל / התחיל
409,beginning,התחלה
410,belong,שייך
411,best,הכי טוב
412,bestseller,רב מכר
413,better,טוב יותר
414,bicycle,אופניים
415,birth,לידה
416,bite,לנשוך נשיכה
417,bizarre,מוזר
418,blind,עיוור
419,block,לבנה גוש חלק
420,block,חסימה
421,blood,דם
422,blood vessel,כלי דם
423,blow blew,לנשוף נשף
424,blow blew,לפוצץ פוצץ
425,boat,סירה
426,body,גוויה גוף
427,bone,עצם
428,border,גבול
429,boring,משעמם
430,bottle,בקבוק
431,bottom,תחתית
432,bottom,ישבן
433,bought,קנה
434,brain,מוח שכל
435,brainwash,לשטוף את המח
436,brave,אמיץ
437,bread,לחם
438,break,לשבור
439,breathe,לנשום
440,bridge,גשר לגשר
441,broad,נרחב
442,budget,תקציב לתקצב
443,build,לבנות
444,build,מבנה
445,building,בניין
446,built,לבנות
447,bullet,קליע
448,by,באמצעות על ידי
449,call,לקרוא להתקשר
450,camera,מצלמה
451,care,לחבב
452,care,לדאוג לטפל
453,carefully,בזהירות
454,careless,לא זהיר רשלני
455,carry,לסחוב
456,catalogue,קטלוג רשימת פריטים
457,catch caught,לתפוס תפס
458,cause,מטרה
459,cause,גורם סיבה
460,cell,תא
461,center,מרכז
462,central,מרכזי
463,challenge,לאתגר
464,challenge,אתגר
465,chance,סיכוי
466,change,עודף
467,change,שינוי לשנות
468,characterize,לאפיין
469,cheap,זול
470,check,לבדוק
471,child,ילד
472,childhood,ילדות
473,children,ילדים
474,circle,להקיף בעיגול
475,circle,מעגל
476,clean,נקי לנקות
477,clever,פיקח
478,climb,לטפס
479,clock,שעון
480,close,סגור לסגור
481,cloth,בגד בד
482,coach,מאמן לאמן להדריך
483,coach,קרון נוסעים כרכרה מחלקת תיירים (במטוס)
484,code,קוד
485,coexist,להתקיים בשותפות
486,coin,מטבע
487,cold,קר התקררות
488,colonial,קולוניאלי
489,color,לצבוע
490,color,צבע
491,complain,להתלונן
492,complete,כולל
493,complete,להשלים
494,consist,מורכב מ
495,contact,ליצור קשר מגע
496,continue,להמשיך
497,continuity,המשכיות רצף הגיוני
498,continuous,מתמשך
499,control,לוח בקרה פיקוח
500,control,שליטה לשלוט
501,cool,לצנן צונן
502,copies,עותקים
503,copy,להעתיק
504,corner,פינה לדחוק לפינה
505,correct,לתקן
506,correct,נכון
507,cost,מחיר עלות
508,costly,יקר
509,count,לספור
510,count,רוזן
511,country,ארץ
512,country,כפר אזור
513,cover,כיסוי מכסה
514,cow,פרה
515,culture,תרבות
516,dance,לרקוד
517,danger,סכנה לסכן
518,dangerous,מסוכן
519,daughter,בת
520,death,מוות
521,deep,עמוק
522,deeply,מאוד במידה רבה
523,define,להגדיר
524,definite,מוחלט
525,delete,למחוק
526,desert,מדבר
527,desert,לנטוש
528,devastate,להחריב
529,die,מת למות
530,die (dice),קובייה (קוביות)
531,difficult,קשה
532,dirty,מלוכלך
533,diverse,מגוון
534,done,גמור עשוי
535,dream,חלום לחלום
536,drink,לשתות משקה
537,drug,סם תרופה לסמם
538,due,צריך להיעשות זמנו הגיע
539,due,בשל
540,early,מוקדם
541,earth,אדמה
542,Earth,כדור הארץ
543,earthquake,רעידת אדמה
544,educate,לחנך
545,education,השכלה
546,empty,ריק לרוקן
547,enemy,אויב
548,energy,אנרגיה כוח
549,enjoy,ליהנות
550,enjoyable,מהנה
551,enter,נכנס
552,error,שגיאה
553,escape,לברוח בריחה
554,evening,ערב
555,event,אירוע
556,exact,מדויק
557,exactly,בדיוק
558,example,דוגמה
559,excessive,יתר מוגזם
560,expert,מומחה
561,extinct,נכחד
562,fact,עובדה
563,false,שקר
564,farm,חווה
565,farmer,חוואי
566,father,אבא
567,fear,פחד לפחד
568,feel,להרגיש
569,feeling,הרגשה
570,few,מעט
571,field,תחום שדה
572,find,למצוא
573,findings,ממצאים
574,finger,אצבע
575,fire,לפטר
576,fire,אש להצית
577,fire,לירות
578,fix,לתקן
579,flower,פרח
580,forget,לשכוח
581,friend,חבר
582,friendly,ידידותי
583,friendship,חברות
584,front,חזית להתעמת
585,full,מלא למלא
586,gain,להרוויח להוסיף
587,glad,שמח
588,gradual,הדרגתי
589,great,גדול מעולה
590,half,חצי
591,hand,יד
592,hand,למסור
593,hear,לשמוע
594,hearsay,שמועה
595,heat,חום לחמם
596,hero,גיבור
597,horse,סוס
598,hot,חם
599,hot,חריף
600,house,לשכן
601,house,בית
602,impartial,אוביקטיבי ללא צד
603,inconsistent,לא עקבי
604,insert,להכניס
605,jump,לקפוץ
606,just,מדויק אמיתי
607,just,צודק הוגן
608,just,רק בלבד
609,kill,להרוג לחסל הרג
610,king,מלך
611,kingdom,ממלכה
612,kitchen,מטבח
613,last,המשיך החזיק מעמד
614,late,מאוחר לאחר
615,light,קל
616,light,אור
617,like,לחבב להעדיף
618,list,רשימה להכין רשימה
619,lock,מנעול לנעול
620,logic,הגיון
621,main,עיקרי
622,map,מפה למפות
623,mark,לסמן
624,maybe,אולי
625,meeting,פגישה
626,member,חבר (בקבוצה מסוימת)
627,milk,חלב לחלוב
628,mistake,טעות
629,mistaken,שגוי לטעות
630,money,כסף
631,move,לזוז לעבור
632,movement,תנועה
633,must,חייב חובה הכרח
634,number,מספר
635,once,פעם אחת
636,open,לפתוח פתוח
637,over,מחדש שוב
638,paragraph,ִפסקה
639,pay,לשלם
640,peace,שלום
641,peaceful,ָׁשֵלו שקט
642,pilot,טייס
643,place,מקום למקם
644,plan,לתכנן
645,plan,תכנית
646,plane,מטוס
647,plane,מישור
648,president,נשיא
649,price,מחיר
650,primary,יסודי עיקרי
651,problem,בעיה
652,program,תכנית
653,program,תכניה
654,program,לתכנת
655,queen,מלכה
656,question,להטיל ספק
657,question,שאלה
658,quick,זריז
659,rates,שיעור  היקף תעריף
660,rather,למדי
661,react,להגיב
662,region,מחוז אזור
663,register,להירשם
664,registration,הרשמה
665,reject,לדחות
666,rest,מנוחה
667,rest,יתר שאר
668,rich,עשיר
669,right,זכות
670,risk,סיכון לסכן
671,river,נהר
672,road,דרך
673,safe,בטוח
674,safety,בטיחות
675,save,לשמור
676,scare,פחד להפחיד
677,school,בית ספר
678,search,חיפוש לחפש
679,select,לבחור
680,sell,למכור
681,send,לשלוח
682,several,אחדים כמה
683,short,קצר
684,shortage,מחסור
685,side,צד לצודד לתמוך
686,sleep,שינה
687,sleep,לישון
688,slow,איטי לאט
689,slow down,להאט
690,so,כל כך מאוד
691,space,חלל
692,space,רווח
693,speed,מהירות
694,start,להתחיל
695,still,נייח דומם שקט
696,stone,אבן
697,strong,חזק
698,stronghold,מאחז
699,system,מערכת
700,system,שיטה
701,target,מטרה
702,teach taught,ללמד לימד
703,think thought,לחשוב חשב
704,time,זמן
705,totally,לחלוטין
706,town,עיר עיירה
707,understand,להבין
708,unusual,בלתי רגיל יוצא דופן
709,use,תועלת תכלית
710,use,לנצל
711,use,להשתמש
712,useful,שימושי
713,useless,חסר תועלת
714,usual,רגיל
715,valuable,יקר ערך
716,value,ערך להעריך
717,view,לראות
718,view,נוף שדה ראיה
719,viewer,צופה
720,visit,לבקר
721,visitor,אורח מבקר
722,voice,קול להשמיע קול
723,wait,להמתין המתנה
724,way,דרך
725,weather,מזג אוויר
726,abrupt,פתאומי
727,absolute,מוחלט
728,accessible,נגיש זמין
729,accomplish,להשלים להשיג
730,accomplished,מומחה מעולה
731,accomplishment,הישג
732,account,להתחשב ב  להתייחס ל
733,account,חשבון
734,accuracy,דיוק
735,accurate,מדויק
736,activist,פעיל אקטיביסט
737,adapt,להתאים
738,adapt,לעבד
739,adapt,להסתגל
740,administer,לנהל לפקח
741,administer,לתת לחלק
742,administration,מנהל
743,admit,להודות
744,admit,להכניס לקבל לתוך קבוצה
745,adult,מבוגר
746,adulthood,בגרות
747,advance,מתקדם
748,advancement,התקדמות
749,advancement,מקדמה
750,advantage,יתרון
751,advice,עצה
752,advise,לייעץ
753,advisor,יועץ
754,aesthetic,אסתטיקה
755,allocate,להקצות
756,announcement,הכרזה
757,annually,שנתי
758,appoint,למנות
759,approach,גישה
760,approximately,בערך בקירוב
761,astronomy,אסטרונומיה
762,attention,תשומת לב
763,attribute,לייחס לקשר
764,attribute,תכונה מאפיין
765,aware,מודע
766,balance,שיווי משקל
767,balance,איזון לאזן
768,ban,חרם איסור
769,belief,אמונה
770,bend,לכופף
771,beware,היזהר
772,borrow,להשאיל
773,brief,תדריך תקציר
774,briefly,בקצרה
775,bright,בהיר ברור
776,by no means,ללא ספק בשום אופן
777,by now,עד עתה
778,capable,מסוגל יכול
779,capacity,יכולת סמכות תפקיד
780,capacity,קיבולת
781,capital,עיר בירה
782,capital,ראשי משמעותי
783,capital,הון
784,capital,אות גדולה
785,capital punishment,עונש מוות
786,capitalize,לנצל
787,certain,מסוים
788,certain,בטוח
789,certainty,וודאות
790,character,אות תו
791,character,אופי
792,character,דמות
793,characteristic,מאפיין
794,choice,בחירה
795,choose,לבחור
796,circumstance,מצב תנאי נסיבות
797,civil,אזרחי
798,civil,אדיב
799,class,כיתה
800,class,מעמד
801,class,סוג
802,classify,לסווג מסווג
803,colony,מושבה
804,combine,לצרף לשלב
805,common,נפוץ משותף
806,communal,משותף ציבורי
807,communicate,לתקשר
808,community,קהילה
809,company,חברה
810,comparable,בר השוואה
811,compare,להשוות
812,comparison,השוואה
813,comprehend,להבין
814,comprehension,הבנה
815,concentrate,להתרכז
816,conclude,לסיים
817,conclude,להסיק
818,conclusion,מסקנה
819,conclusively,סופית באופן החלטי
820,confirm,לאשר לאמת
821,continuation,המשך
822,cooperation,שיתוף פעולה
823,core,ליבה
824,crisis,משבר
825,cure,מרפא
826,decide,להחליט
827,decline,לרדת
828,decline,לדחות
829,decline,ירידה
830,decrease,ירידה הפחתה
831,decrease,להפחית לצמצם
832,deduce,להסיק
833,demand,לדרוש דרישה
834,deny,לסרב
835,deny,להכחיש
836,depart,לעזוב
837,derive,לשאוב להפיק לגזור מ
838,descend,ירד הדרדר
839,descendent,צאצא
840,deserve,מגיע (לו)
841,destiny,גורל
842,devote,להקדיש
843,direct,לכוון
844,direct,לביים
845,direct,ישיר כנה
846,direction,כיוון
847,disadvantage,חסרון
848,disclose,לגלות לחשוף
849,discover,לגלות
850,discoveries,תגליות
851,discuss,לדון להתווכח
852,disprove,להפריך
853,distinct,ברור נפרד
854,distress,מצוקה
855,diverge,לסטות
856,diversity,מגוון
857,divide,לחלק
858,doubt,ספק להטיל ספק
859,edit,לערוך
860,edition,מהדורה
861,editor,עורך
862,emperor,שליט קיסר
863,empire,אימפריה
864,enable,לאפשר
865,enormous,עצום
866,enough,מספיק
867,era,עידן
868,essential,חיוני
869,evaluate,להעריך לאמוד
870,evaluation,הערכה
871,even,אפילו
872,even,זוגי (מספר)
873,even,ליישר להשוות
874,evenly,באופן שווה
875,except for,למעט
876,exercise,תרגיל
877,exercise,להתאמן
878,exercise,לממש ליישם
879,expect,לצפות
880,expectations,ציפיות
881,explain,להסביר
882,explanation,הסבר
883,express,לבטא
884,express,מהיר
885,expression,ביטוי
886,extreme,קיצוני
887,face,פונה ל  עם הפנים ל
888,face,פנים
