id,English,Hebrew
2517,court,בית משפט
2518,courteous,אדיב
2519,courtesy,נימוס אדיבות
2520,craft,אומנות מלאכה
2521,craft,כלי טייס / כלי שייט
2522,craftsmen,אומן בעל מלאכה
2523,critique,ביקורת
2524,cross,לחצות
2525,cross,צלב להצליב
2526,crossroad,צומת
2527,cruel,אכזרי
2528,cult,כת
2529,dawn,שחר
2530,deal,עסקה
2531,deal,להתמודד
2532,dealt,עסק ב חולק (קלפים ניירת)
2533,debt,חוב
2534,decay,ריקבון
2535,decipher,לפענח
2536,delegate,להאציל להסמיך
2537,delinquent,נזנח נשכח
2538,delinquent,עבריין
2539,depression,דיכאון
2540,described,מתואר
2541,description,תיאור
2542,desirable,נחשק
2543,desire,תשוקה חשק לחפוץ
2544,despair,להתייאש
2545,desperate,נואש
2546,desperation,ייאוש
2547,dimension,מימד
2548,disagreement,חוסר הסכמה
2549,disappear,להעלם
2550,disappoint,לאכזב
2551,disapproving,לא מאשר לא מסכים לא מרוצה
2552,disciples,תלמידים
2553,discipline,תחום לימוד/מחקר
2554,discipline,להעניש לחנך משמעת
2555,disciplined,חינך העניש
2556,disciplined,ממושמע
2557,discontent,חוסר שביעות רצון
2558,discourage,לשכנע שלא לעשות משהו
2559,discrepancy,סתירה פער
2560,disease,מחלה
2561,disinfection,חיטוי
2562,dislocate,לפרוק לנקוע
2563,disparage,לזלזל להמעיט בערך
2564,dissent,להתנגד חילוקי דעות
2565,distinction,מצוינות
2566,distinction,הפרדה
2567,distinctive,מיוחד
2568,distinguish,להבדיל להבחין
2569,disturb,להפריע
2570,disturbance,הפרעה
2571,dominate,לשלוט
2572,dozen,תריסר
2573,drought,בצורת
2574,duel,דו קרב
2575,duplicate,לשכפל
2576,durable,יציב מתמשך
2577,dynasty,שושלת
2578,eliminate,לחסל לפסול
2579,eloquent,רהוט
2580,elude,לברוח להתחמק
2581,embrace,לחבק לאמץ לקרבו
2582,emission,פליטה
2583,employ,להעסיק
2584,employer,מעסיק מעביד
2585,enclosing,לסגור להקיף
2586,enclosure,סגירה כיתור שטח מגודר
2587,encounter,מפגש
2588,endanger,לסכן
2589,endangered,בסכנת הכחדה
2590,endurance,כוח סבל
2591,endure,לסבול להחזיק מעמד
2592,enforce,לאכוף לכפות
2593,Equator,קו המשווה
2594,equip,לצייד
2595,equipment,ציוד
2596,erupt,התפרץ
2597,estate,אחוזה
2598,estate,נכס
2599,expense,הוצאות
2600,expensive,יקר
2601,fabric,בד
2602,fabricate,לבדות
2603,family,משפחה
2604,fatal,סופני (פטלי)
2605,fate,גורל חרץ גורל
2606,fellow,חבר עמית
2607,fiction,בדיון לא אמיתי
2608,file,תיק קובץ
2609,fingerprint,טביעת אצבע
2610,flame,להבה
2611,flatter,שטוח יותר
2612,flatter,להחמיא
2613,flattery,חנופה
2614,flock,לנהור עדר המון
2615,flood,שיטפון
2616,fragile,עדין שביר
2617,gauge,למדוד להעריך מידה
2618,generous,נדיב
2619,genes,גנים
2620,gesture,מחווה
2621,given,נתון
2622,grade,כיתה
2623,grade,ציון דרגה מעמד
2624,grade,שיפוע
2625,gradually,בהדרגה
2626,graduate,לסיים לימודים
2627,grand,גדול כולל מרשים
2628,granddaughter,נכדה
2629,grandfather,סבא
2630,grandmother,סבתא
2631,grandson,נכד
2632,guess,ניחוש לנחש
2633,guidance,הנחיה הכוונה הנהגה
2634,guide,להדריך
2635,gunpowder,אבק שריפה
2636,hail,לשבח
2637,hail,ברד
2638,hall,מסדרון
2639,hall,היכל
2640,harm,לפגוע להזיק
2641,harness,לרתום
2642,herb,עשב
2643,herd,לאסוף
2644,herd,עדר לרעות
2645,heritage,מורשת
2646,husband,בעל
2647,illness,מחלה
2648,illustrate,להמחיש להדגיש
2649,illustrator,מאייר
2650,immersion,שקיעה
2651,immoral,לא מוסרי
2652,implement,ליישם להוציא לפועל
2653,implementation,מימוש יישום ביצוע
2654,incident,תקרית
2655,incompetence,חוסר יכולת
2656,incorporate,לכלול לשתף לאגד
2657,indefinitely,ללא הגבלה
2658,independence,עצמאות
2659,independent,עצמאי
2660,inevitable,בלתי נמנע
2661,infectious,מדבק
2662,inferior,נחות
2663,infiltrate,להסתנן
2664,influence,השפעה להשפיע
2665,insight,תובנה
2666,instrument,כלי
2667,insurmountable,שאין להתגבר עליו
2668,intellectual,אינטלקטואלי
2669,interview,לראיין ראיון
2670,introduce,להציג לעשות היכרות
2671,introduction,הקדמה מבוא היכרות
2672,invade,לחדור לפלוש
2673,invaders,פולשים
2674,investigate,לחקור
2675,invoke,לעורר לזמן
2676,irregular,לא רגיל
2677,irresistible,שלא ניתן לעמוד בפניו
2678,justify,להצדיק
2679,knife (knives),סכין (סכינים)
2680,label,תגית
2681,label,לתייג
2682,labor,להתאמץ
2683,labor,עבודה עמל לעמול
2684,laboratory,מעבדה
2685,laborer,פועל
2686,layer,שכבה
2687,lead led,להוביל הוביל
2688,leader,מנהיג
2689,leadership,מנהיגות
2690,lie,לשקר ֶשֶקר
2691,lie lay,לשכב שכב
2692,listen,להקשיב
2693,loosely,באופן רפוי
2694,loud,חזק
2695,loudspeaker,רמקול
2696,luxury,מותרות
2697,machine,מכונה
2698,manufacture,ייצר
2699,march,לצעוד
2700,margin,שוליים מרווח
2701,martial,צבאי קרבי
2702,master,להתמחות לשלוט
2703,master,אדון שליט
2704,masterpiece,יצירת מופת
2705,mastery,מומחיות
2706,match,גפרור
2707,match,התאמה להתאים
2708,melt,להמיס
2709,mind,שכל
2710,mind,אכפת
2711,mind,לשים לב לשמור
2712,missile,טיל
2713,mobilize,לנייד להניע
2714,mole,חפרפרת
2715,mole,שומה
2716,myriad,רב הרבה
2717,narrow,צר
2718,navigate,לנווט
2719,nervous,עצבני לחוץ מתוח
2720,nobility,אצולה
2721,noble,אציל אצילי
2722,notion,רעיון מושג נטיה
2723,novel,רומן סיפור
2724,novel,חדש
2725,observation,אבחנה
2726,observe,להתבונן להבחין
2727,obstinate,עקשן
2728,offend,להעליב
2729,offender,פושע פוגע
2730,offensive,מעליב פוגעני
2731,oppressive,אכזרי
2732,oppressive,מדכא מעיק
2733,ornament,קישוט
2734,outdated,מיושן
2735,outspoken,מדבר גלויות ישיר
2736,outstanding,יוצא מן הכלל מצוין
2737,overtake,לעקוף להשיג
2738,pain,כאב להכאיב
2739,passive,סביל
2740,pervasive,מתפשט מחלחל
2741,petition,עצומה עתירה לעתור
2742,picture,תמונה לצלם
2743,picture,לדמיין
2744,play,משחק לשחק
2745,play,מחזה
2746,playwright,מחזאי
2747,policy,מדיניות
2748,potent,חזק בעל כוח השפעה
2749,potential,אפשרי פוטנציאלי
2750,prejudice,דעה קדומה
2751,prevalent,נפוץ שכיח רווח
2752,pride,גאווה
2753,prison,כלא
2754,prophecy,נבואה
2755,prosper,לשגשג
2756,province,מחוז אזור
2757,provoke,להתגרות להסית
2758,punctuate,הדגשה
2759,punctuation,ניקוד פיסוק
2760,pure,טהור
2761,purification,טיהור
2762,query,שאלה חקירה
2763,rapid,מהיר
2764,rapid,ֶאֶשד זרם מים מהיר בנהר
2765,rapidly,במהירות
2766,reader,קורא
2767,rebuttal,הפרכה סתירה
2768,recognize,לזהות
2769,recollection,זיכרון
2770,recordings,הקלטות
2771,recruit,לגייס
2772,recur,קרה שוב
2773,recurring,חוזר נשנה
2774,refined,מעודן מלוטש
2775,reflect,להרהר
2776,reflect,לשקף להחזיר אור
2777,reflection,השתקפות
2778,refugee,פליט
2779,reinforce,לתגבר לחזק
2780,relapse,הדרדר הישנות
2781,relating,מתייחס
2782,relations,יחסים
2783,remarkable,ראוי לציון יוצא דופן
2784,rival,יריב
2785,rivalry,יריבות
2786,rodent,מכרסם
2787,role,תפקיד
2788,rural,כפרי
2789,satellite,לווין
2790,satisfy,לרצות לספק
2791,scarce,נדיר
2792,scholar,אקדמאי בעל מלגה מלומד
2793,score,לחתוך לחרוץ
2794,score,לזכות בניקוד
2795,score,תוצאה
2796,secular,חילוני
2797,senior,בכיר
2798,senior,זקן
2799,sensation,תחושה
2800,sensations,חדשות מרעישות
2801,set up,להרכיב לארגן לסדר
2802,sheet,דף
2803,sheet,סדין
2804,sight,ראייה כוונת
2805,sighting,תצפית מראה
2806,silver,כסף כסוף
2807,sink,כיור
2808,sink,לשקוע
2809,skin,עור
2810,skinned,פשט עור
2811,slander,השמצה להשמיץ
2812,slight,קל מעט
2813,speak spoke,לדבר דיבר
2814,speaker,דובר
2815,spell,כישוף קסם
2816,spell,איות לאיית
2817,spend,לבלות להעביר
2818,spend,לבזבז לפזר
2819,spill,לשפוך
2820,spot,כתם
2821,spot,לזהות
2822,sprang,נבע
2823,stadium,אצטדיון
2824,stark,שומם עזוב
2825,stark,בוטה מוחלט גמור
2826,statue,פסל
2827,steel,פלדה
2828,stiff,נוקשה
2829,storage,אחסון
2830,strain,מתח נפשי
2831,strain,להתאמץ למתוח לנקוע
2832,strength,חוזק
2833,strengthen,לחזק
2834,struggle,מאבק מאמץ
2835,stuck,תקוע
2836,suffer,לסבול
2837,sundown,שקיעה
2838,sunlight,אור יום
2839,supreme,עליון
2840,surprise,הפתעה
2841,swing,לנדנד נדנדה
2842,switch,מתג
2843,switch,להחליף
2844,symptom,סימפטום
2845,tempt,לפתות
2846,tend,נוטה
2847,tender,רך
2848,threaten,לאיים
2849,tilt,להטות שיפוע
2850,timid,ביישן
2851,topic,נושא
2852,tower,מגדל
2853,toxic,רעיל
2854,trace,לעקוב למצוא
2855,trace,סימן ִעְקָבה
2856,track,מסילה מסלול
2857,track,לעקוב
2858,transform,לשנות צורה
2859,translate,לתרגם
2860,translator,מתרגם
2861,transmit,לשדר
2862,transmitter,משדר
2863,transplant,לשתול
2864,trap,מלכודת
2865,triumph,ניצחון
2866,tropical,טרופי
2867,truth,אמת
2868,tube,צינור
2869,twist,סיבוך סיבוב
2870,unconscious,מחוסר הכרה
2871,unjust,לא צודק
2872,vagueness,עמימות ערפול
2873,vanish,להיעלם
2874,vegetable,ירק
2875,vegetarian,צמחוני
2876,vehicle,כלי רכב
2877,veracity,יושר הגינות
2878,verdict,פסק דין פסיקה
2879,voyage,מסע
2880,want,לרצות
2881,wanted,מבוקש
2882,warmth,חום
2883,wealth,עושר
2884,welfare,סעד
2885,wheat,חיטה
2886,wildlife,חיות בר
2887,wind,למתוח
2888,wind,רוח
2889,wing,כנף
2890,withstand,להתמודד לעמוד ב
2891,abroad,"חו""ל"
2892,accomplices,שותף לדבר עבירה
2893,acquitted,זוכה מאשמה
2894,adhere,לדבוק ב  לדגול ב
2895,advocate,לייעץ
2896,advocate,פרקליט
2897,align,להסתדר בשורה
2898,allowance,דמי כיס הקצבה
2899,allusion,אזכור רמיזה
2900,ample,מספיק שופע גדול
2901,amputation,קטיעה
2902,amusement,שעשוע
2903,anesthesia,הרדמה
2904,annoy,להציק
2905,appraise,להעריך (שווי) לאמוד
2906,ark,תיבה
2907,arrogant,יהיר שחצן
2908,artifact,חפץ פריט אומנות
2909,atrocity,זוועה
2910,attire,לבוש
2911,baffled,מבולבל
2912,baggage,מטען מזוודה
2913,bandage,תחבושת
2914,barrier,מחסום
2915,bashful,ביישן
2916,bent,כופף
2917,blend,לערבב
2918,blur,טשטוש לטשטש
2919,boil,להרתיח
2920,bolster,לתמוך
2921,boot,מגף
2922,bore,לשעמם שעמום
2923,bore,לקדוח (חור)
2924,bury,לקבור
2925,cabin,בקתה
2926,ceremony,טקס מסכת
2927,coal,פחם
2928,command,פקודה לפקוד
2929,commute,לנסוע בקביעות לעבודה
2930,commute,להמתיק (עונש)
2931,commute,להחליף להמיר
2932,composed,הלחין
2933,condense,לדחוס
2934,condone,לסלוח למחול
2935,congenial,נעים ידידותי
2936,congenital,מולד
2937,consolidate,לאחד לגבש
2938,container,מיכל קונטיינר
2939,contest,תחרות
2940,contest,למחות
2941,convict,להרשיע
2942,convict,אסיר
2943,cope,להתמודד
2944,cord,מיתר
2945,cornerstone,אבן פינה
2946,crash,להתנגש התנגשות
2947,credibility,אמינות מהימנות
2948,crown,כתר להכתיר
2949,cultivate,לעבד לטפח
2950,curiosity,סקרנות
2951,curious,סקרן
2952,curve,עקומה פניה
2953,damp,לח
2954,dampen,לדכא
2955,dare,להעיז תעוזה
2956,dare,אתגר
2957,daydream,לחלום בהקיץ
2958,deaf,חרש
2959,defer,לעכב לדחות
2960,deflate,להוציא אוויר מ
2961,deform,לעוות
2962,deformity,מום עיוות
2963,delicate,עדין
2964,demean,להנמיך להשפיל
2965,department,מחלקה
2966,department-store,חנות כלבו
2967,deposit,להפקיד פיקדון
2968,depreciate,להפחית
2969,despise,לתעב
2970,dessert,קינוח
2971,devoid,חסר נטול
2972,disdain,זלזול בוז
2973,disgrace,בושה
2974,disguise,תחפושת
2975,disloyal,לא נאמן
2976,disparagement,זלזול
2977,dispatch,לשגר
2978,displacement,עקירה
2979,disseminate,להפיץ
2980,docile,צייתן כנוע נח
2981,domestic,ביתי
2982,donate,לתרום
2983,donor,תורם
2984,draw,תיקו שוויון
2985,draw,לצייר
2986,draw (drew),לשלוף (שלף)
2987,drawback,חסרון עיכוב
2988,drift,זרם סחף
2989,eager,נחוש נלהב
2990,embryo,עּוָּבר
2991,engage,להעסיק ליצור מגע
2992,engagement,התחייבות
2993,engagement,אירוסין
2994,enlist,להתגייס
2995,enrage,להרגיז להכעיס
2996,entertain,לשעשע לבדר
2997,entertainment,בידור
2998,entitled,זכאי
2999,entrance,כניסה
3000,envision,לחזות לצפות
3001,esteemed,מכובד
3002,exaggerate,להגזים
3003,examination,בחינה בדיקה
3004,examine,לבחון
3005,excitement,התרגשות
3006,exert,להפעיל
3007,exert,להתאמץ
3008,exhaust,פליטה צינור מפלט
3009,exist,קיים
3010,existence,קיום
3011,expedite,לזרז
3012,expend,לגמור לבזבז לפזר
3013,expendable,שניתן לוותר עליו
3014,eyesight,ראייה כוונת
3015,factory,מפעל בית חרושת
3016,familiar,מוכר
3017,familiarize,להתוודע
3018,fascinate,לרתק
3019,fertile,פורה
3020,fetus,עובר (ברחם)
3021,fiber,סיב
3022,figurative,סמלי
3023,finalize,לסכם לגבש
3024,firm,מוצק
3025,firm,נחוש תקיף
3026,firm,חברה (פירמה)
3027,flagrant,בוטה
3028,flexible,גמיש
3029,fluctuation,חוסר יציבות
3030,fluency,שטף
3031,fluent,שוטף
3032,fluid,נוזל
3033,footprints,עקבות טביעות רגל
3034,foresee,לצפות מראש
3035,fort,מצודה מבצר
3036,fortify,לחזק לבצר
3037,fragrance,ניחוח
3038,freeze froze,להקפיא הקפיא
3039,fruit,פרי
3040,fulfill,להגשים
3041,garment,בגד לבוש
3042,gasoline,בנזין
3043,genre ',ז'אנר סוגה
3044,genus,סוג מין
3045,giant,ענק
3046,goblet,גביע
3047,greet,לברך לקבל פנים
3048,grief,יגון צער
3049,grievance,טרוניה התמרמרות
3050,growled,נהם
3051,guarantee,להבטיח ערבות
3052,halve,לחצות
3053,harass,להציק
3054,hasten,למהר להחפז
3055,hasty,מהיר בהול
3056,hatch,לבקוע (מביצה)
3057,hatch,פתח צוהר
3058,haul,לגרור
3059,heed,לשים לב
3060,hegemony,הגמוניה
3061,height,גובה
3062,heresy,כפירה
3063,hibernate,לישון שנת חורף
3064,hid from,התחבא מ
3065,hidden,חבוי נסתר
3066,highway,כביש ראשי
3067,hinder,לעכב
3068,hint,רמז
3069,historian,היסטוריון
3070,hive,כוורת
3071,horrific,ָאיֹום
3072,horror,אימה
3073,hospitality,הכנסת אורחים
3074,host,מארח
3075,hostility,עוינות
3076,hypocrisy,צביעות
3077,idolize,להעריץ
3078,ill,חולה
3079,illuminate,להאיר
3080,illusion,אשליה
3081,imaginative,דמיוני
3082,imitate,לחקות
3083,implore,להתחנן להפציר
3084,imply,לרמוז
3085,imprisonment,מאסר כליאה
3086,inadvertently,בלי משים בלי כוונה
3087,incline,שיפוע
3088,incline,להתאים
3089,indebted,חייב ל  אסיר תודה
3090,induce,לגרום לייצר
3091,infancy,ינקות
3092,inherit,לרשת
3093,inhibit,לרסן
3094,inject,להזריק
3095,injury,פציעה
3096,insanity,אי שפיות
3097,inspect,לבחון לבדוק
3098,insult,עלבון
3099,insult,להעליב
3100,integrate,לשלב
3101,intelligence,מודיעין
3102,intelligence,אינטליגנציה
3103,interface,ממשק
3104,interjection,הערה הפרעה לשיחה
3105,keystone,אבן מפתח
3106,lackluster,העדר ברק העדר כוח
3107,leisure,פנאי
3108,leisurely,נינוח רגוע
3109,lucrative,ריווחי
3110,luggage,מזוודות
3111,luminous,זוהר בוהק
3112,lurking,אורב מתגנב
3113,magnitude,גודל חשיבות
3114,malformation,עיוות פגם
3115,manner,התנהגות אופן
3116,manners,נימוס
3117,marriage,נישואין
3118,masculine,גברי
3119,merit,ערך הישג
3120,metal,מתכת מתכתי
3121,meticulous,קפדני
3122,migrate,להגר
3123,mimic,לחקות
3124,minister,שר (בממשלה)
3125,monarch,מלך
3126,morose,קודר עגמומי
3127,muscle,שריר
3128,mutation,מוטציה
3129,mystery,תעלומה
3130,narcotic,סם
3131,neighbor,שכן
3132,neighborhood,שכונה
3133,noise,רעש
3134,nuisance,מטרד
3135,nurse,אחות
3136,nursery,חדר ילדים
3137,nurture,לטפח להזין לחנך
3138,obligation,התחייבות
3139,oblige,לחייב להכריח
3140,ocean,אוקיינוס
3141,offset,לקזז
3142,overly,יותר מידי
3143,oversee,לפקח
3144,overwhelm,מהמם
3145,package,חפיסה חבילה
3146,painter,צייר
3147,painting,ציור
3148,passion,תשוקה
3149,path,דרך נתיב
3150,patience,סבלנות
3151,patiently,בסבלנות
3152,patients,מטופלים
3153,peddler,רוכל סוחר
3154,penalty,קנס
3155,people,אנשים
3156,perpetuate,להנציח
3157,pest,מטרד מזיק (חרקים)
3158,petroleum,נפט
3159,plague,מגפה
3160,plentiful,מלא שופע
3161,poet,משורר
3162,polar,קוטבי הפוך לחלוטין
3163,pole,מוט
3164,pole,קוטב
3165,poor,עני מסכן
3166,poorly,בצורה גרועה
3167,portrait,דיוקן
3168,posterity,הדורות הבאים
3169,pot,סיר קדרה
3170,potato,תפוח אדמה
3171,potter,קדר
3172,praise,לשבח
3173,prepare,התכונן
3174,preside,לנהל
3175,prestigious,יוקרתי
3176,pretend,להעמיד פנים
3177,principal,מנהל בית ספר
3178,principle,עיקרון
3179,principle,עיקרי
3180,probation,תקופת מבחן
3181,proliferate,התפשט במהירות
3182,prolific,פורה שופע
3183,prolong,מתמשך
3184,prominent,בולט חשוב
3185,prone,נוטה
3186,proof,חסין עמיד (סיומת)
3187,proof,הוכחה ראיה
3188,propel,להניע לדחוף
3189,proposal,הצעה
3190,propose,להציע
3191,propose,להציע להציע נישואין
3192,proposition,הצעה
3193,prospective,צפוי עתידי
3194,punish,להעניש
3195,readily,ללא קושי
3196,readiness,מוכנות
3197,realize,הבין
3198,rearing,גידול טיפוח
3199,reassurance,הבטחה הרגעה
3200,reborn,נולד מחדש
3201,recall,להיזכר
3202,recall,להחזיר להשיב צלצול
3203,recruitment,גיוס
3204,reliable,אמין שניתן לסמוך עליו
3205,relic,שארית שריד
3206,relieve,להקהל
3207,remedy,תרופה
3208,reorganize,לארגן מחדש
3209,repelled,דחה הגעיל
3210,replica,העתק מדויק
3211,represent,לייצג מייצג
3212,repressive,מדכא
3213,reproduce,להתרבות לשכפל
3214,reputation,שם מוניטין
3215,resent,להתנגד להתרעם
3216,reservation,שריון מקום
3217,reservation,שמורה
3218,reserve,לשמור
3219,reserve,שמורה
3220,reserve,עתודה מילואים
3221,reservoir,מאגר
3222,resigned,התפטר
3223,respect,כבוד לכבד
3224,respectfully,בכבוד
3225,respond,להגיב תגובה תשובה
3226,responsibility,אחריות
3227,responsible,אחראי
3228,retirement,פרישה
3229,retreat,לסגת נסיגה
3230,revise,לתקן לשפר
3231,revision,בדיקה מחדש לצורך שיפור
3232,ridicule,ללעוג
3233,ridiculous,מגוחך
3234,rim,שפה
3235,rope,חבל
3236,rub,לשפשף
3237,rumor,שמועה
3238,salary,שכר
3239,sanction,קנס עונש עידוד
3240,saw,מסור
3241,saw see,ראה לראות
3242,seeds,זרעים
3243,segment,קטע מקטע
3244,self-confidence -,בטחון עצמי
3245,self-indulgence -,סיפוק עצמי
3246,sequel,המשך
3247,sequence,רצף
3248,shatter,לנפץ להרוס לקעקע
3249,shell,קליפה מעטפת
3250,shell,פגז
3251,shelter,מקלט
3252,shield,מגן להגן
3253,signature,חתימה
3254,silent,דומם שקט
3255,silently,בשקט
3256,slant,אלכסון נטייה
3257,slate,להכניס מישהו לרשימה
3258,slate,רעף לוח
3259,slaughter,לטבוח לשחוט ֶטַבח
3260,slave,עבד
3261,slavery,עבדות
3262,slender,רזה
3263,slope,שיפוע מדרון
3264,snicker,גיחוך
3265,soldier,חייל
3266,solitary,מבודד
3267,solve,לפתור
3268,soul,נשמה
3269,sound,קול
3270,sound,בריא
3271,special,מיוחד
3272,spike,יתד
3273,splendor,פאר
3274,spotlight,זרקור
3275,stage,במה לביים
3276,starve,לרעוב
3277,store,חנות לאחסן
3278,store,לאחסן
3279,stress,להדגיש
3280,stress,מתח לחץ מצוקה
3281,strict,נוקשה
3282,stubborn,עקשן
3283,subsequent,עוקב
3284,supplement,תוסף
3285,supply,אספקה
3286,susceptible,רגישות
3287,suspend,להשעות
3288,suspense,השהיה מתח
3289,tact,טקט
3290,tension,מתח
3291,testify,להעיד
3292,texture,מרקם טקסטורה
3293,tie,עניבה
3294,tie,לקשור קשר
3295,timber,עץ
3296,tomb,קבר
3297,trait,תכונה
3298,tranquilize,להרגיע להרדים
3299,transaction,עסקה
3300,transcend,להתעלות
3301,transition,מעבר שינוי
3302,transparent,שקוף
3303,transport,הובלה
3304,transport,להוביל
3305,transportation,תחבורה
3306,unconventional,לא שיגרתי
3307,underestimate,הערכה נמוכה לזלזל
3308,vacant,פנוי ריק
3309,veteran,חייל משוחרר יוצא צבא
3310,veteran,ותיק
3311,virtue,מעלה
3312,vital,חיוני
3313,vivid,חד בהיר ססגוני שופע
3314,vulnerable,פגיעות
3315,warn,להזהיר
3316,warning,אזהרה
3317,weaken,להחליש
3318,withdraw,לסגת לפרוש
3319,witness,עד להעיד
3320,worry,דאגה לדאוג
3321,zoo,גן חיות
3322,abhor,לשנוא לתעב
3323,adolescence,גיל ההתבגרות
3324,agency,סוכנות
